KIT ID Number,Borough,Zipcode,Date Collected,Received Date,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
20170037,NEW YORK,10018,06/12/2020,06/17/2020,7,0.131
20170070,QUEENS,11413,06/12/2020,06/19/2020,0,0.135
20169891,QUEENS,11358,06/12/2020,06/15/2020,0,0.095
20169982,STATEN ISLAND,10308,06/12/2020,06/15/2020,2,0.107
20170136,BRONX,10465,06/12/2020,06/15/2020,3,0.128
20170018,BROOKLYN,11209,06/12/2020,06/24/2020,0,0.042
20170030,STATEN ISLAND,10306,06/12/2020,06/17/2020,0,0.148
20169702,STATEN ISLAND,10312,06/12/2020,06/17/2020,1,0.101
20169708,BROOKLYN,11215,06/12/2020,06/19/2020,3,0.177
20170063,QUEENS,11418,06/12/2020,06/16/2020,1,0.014
20170031,STATEN ISLAND,10312,06/12/2020,06/17/2020,1,0.062
20169801,STATEN ISLAND,10309,06/12/2020,06/17/2020,21,0.375
20169760,QUEENS,11358,06/13/2020,06/19/2020,3,0.163
20170067,BROOKLYN,11236,06/13/2020,06/17/2020,42,0.131
20169962,QUEENS,11001,06/13/2020,06/17/2020,2,0.15
20169834,STATEN ISLAND,10304,06/13/2020,06/17/2020,0,0.106
20169970,STATEN ISLAND,10309,06/13/2020,06/17/2020,0,0.095
20170091,BRONX,10457,06/13/2020,06/19/2020,0,0.125
20169733,QUEENS,11362,06/13/2020,06/19/2020,3,0.12
20170012,QUEENS,11385,06/13/2020,06/19/2020,12,0.072
20170060,QUEENS,11415,06/14/2020,06/17/2020,0,0.057
20169975,STATEN ISLAND,10310,06/14/2020,06/19/2020,8,0.178
20169780,QUEENS,11354,06/14/2020,06/19/2020,3,0.061
20170141,BROOKLYN,11215,06/14/2020,06/17/2020,5,0.166
20169706,BRONX,10471,06/14/2020,06/19/2020,1,0.094
20169693,STATEN ISLAND,10314,06/14/2020,06/19/2020,0,0.103
20169820,QUEENS,11354,06/14/2020,06/17/2020,2,0.143
20169692,STATEN ISLAND,10314,06/14/2020,06/24/2020,0,0.148
20169864,QUEENS,11379,06/14/2020,06/19/2020,4,0.188
20170147,QUEENS,11432,06/15/2020,06/19/2020,2,0.132
20169791,QUEENS,11385,06/15/2020,06/19/2020,9,0.114
20169847,BROOKLYN,11231,06/15/2020,06/17/2020,5,0.132
20169954,QUEENS,11354,06/15/2020,06/19/2020,20,0.057
20170138,BROOKLYN,11224,06/15/2020,06/17/2020,4,0.116
20170090,STATEN ISLAND,10309,06/15/2020,06/19/2020,0,0.104
20169932,STATEN ISLAND,10312,06/15/2020,06/18/2020,5,0.097
20170121,STATEN ISLAND,10306,06/15/2020,06/19/2020,2,0.196
20169694,STATEN ISLAND,10314,06/15/2020,06/17/2020,2,0.138
20169796,STATEN ISLAND,10309,06/15/2020,06/22/2020,0,0.04
20170051,BROOKLYN,11228,06/15/2020,06/17/2020,32,0.466
20169937,STATEN ISLAND,10309,06/15/2020,06/19/2020,0,0.124
20169831,QUEENS,11420,06/15/2020,06/19/2020,0,0.128
20170149,BROOKLYN,11223,06/15/2020,06/19/2020,8,0.035
20169987,STATEN ISLAND,10312,06/16/2020,06/22/2020,0,0.124
20170005,BROOKLYN,11234,06/16/2020,06/19/2020,1,0.171
20169826,QUEENS,11412,06/16/2020,06/22/2020,2,0.076
20169718,QUEENS,11377,06/16/2020,06/22/2020,11,0.153
20170079,STATEN ISLAND,10306,06/16/2020,06/22/2020,0,0.104
20170039,BRONX,10469,06/16/2020,06/22/2020,0,0.182
20169984,STATEN ISLAND,10308,06/16/2020,06/19/2020,0,0.11
20169938,NEW YORK,10128,06/16/2020,06/19/2020,11,0.102
20170154,QUEENS,11362,06/16/2020,06/19/2020,4,0.143
20170076,QUEENS,11434,06/16/2020,06/29/2020,5,0.121
20169967,STATEN ISLAND,10309,06/16/2020,06/22/2020,0,0.065
20169904,STATEN ISLAND,10312,06/16/2020,06/19/2020,1,0.124
20169699,STATEN ISLAND,10306,06/16/2020,06/19/2020,0,0.138
20170126,STATEN ISLAND,10309,06/16/2020,06/22/2020,1,0.169
20169838,BRONX,10461,06/17/2020,06/22/2020,6,0.108
20169880,QUEENS,11432,06/17/2020,06/22/2020,0,0.045
20170152,QUEENS,11385,06/17/2020,06/19/2020,5,0.058
20169862,QUEENS,11354,06/17/2020,06/22/2020,3,0.171
20169988,STATEN ISLAND,10312,06/17/2020,06/22/2020,2,0.066
20169744,STATEN ISLAND,10312,06/17/2020,06/19/2020,0,0.035
20169739,STATEN ISLAND,10301,06/17/2020,06/22/2020,0,0.206
20169870,QUEENS,11433,06/17/2020,06/22/2020,0,0.183
20169978,STATEN ISLAND,10306,06/17/2020,06/22/2020,0,0.141
20169972,BROOKLYN,11212,06/17/2020,06/24/2020,0,0.123
20169769,BROOKLYN,11214,06/17/2020,06/19/2020,7,0.098
20169900,QUEENS,11412,06/17/2020,06/19/2020,0,0.102
20169697,STATEN ISLAND,10305,06/18/2020,06/22/2020,17,0.076
20170078,STATEN ISLAND,10305,06/18/2020,06/22/2020,0,0.098
20169795,STATEN ISLAND,10310,06/18/2020,06/19/2020,1,0.161
20169772,QUEENS,11375,06/18/2020,06/22/2020,14,0.098
20169917,QUEENS,11691,06/19/2020,06/29/2020,0,0.125
20170021,STATEN ISLAND,10304,06/19/2020,06/24/2020,7,0.128
20169813,BROOKLYN,11234,06/19/2020,06/24/2020,18,0.114
20169805,BROOKLYN,11215,06/19/2020,06/22/2020,3,0.12
20169749,STATEN ISLAND,10309,06/20/2020,06/30/2020,0,0.099
20169888,STATEN ISLAND,10306,06/20/2020,06/24/2020,0,0.206
20169884,QUEENS,11104,06/21/2020,06/30/2020,7,0.092
20169901,BROOKLYN,11234,06/21/2020,06/29/2020,5,0.112
20170065,BROOKLYN,11214,06/22/2020,06/24/2020,0,0.076
20169867,QUEENS,11691,06/22/2020,06/29/2020,2,0.163
20170025,STATEN ISLAND,10305,06/22/2020,06/29/2020,0,0.059
20170135,BROOKLYN,11211,06/22/2020,06/29/2020,7,0.144
20169754,BROOKLYN,11220,06/23/2020,06/29/2020,2,0.163
20169768,QUEENS,11103,06/23/2020,06/29/2020,6,0.144
20170159,STATEN ISLAND,10306,06/23/2020,06/29/2020,9,0.106
20169986,STATEN ISLAND,10312,06/23/2020,06/30/2020,0,0.115
20169855,BROOKLYN,11229,06/23/2020,06/29/2020,5,0.113
20170046,BROOKLYN,11230,06/23/2020,06/29/2020,5,0.152
20170026,STATEN ISLAND,10304,06/23/2020,06/30/2020,0,0.107
20169854,BROOKLYN,11224,06/23/2020,06/29/2020,0,0.034
20169881,STATEN ISLAND,10312,06/23/2020,06/29/2020,0,0.122
20170143,BROOKLYN,11219,06/23/2020,06/30/2020,2,0.071
20170038,BRONX,10457,06/23/2020,06/29/2020,0,0.095
20169765,BROOKLYN,11230,06/23/2020,06/29/2020,5,0.081
20169806,BROOKLYN,11213,06/24/2020,06/30/2020,0,0.034
20170104,QUEENS,11364,06/24/2020,06/30/2020,3,0.141
20169877,STATEN ISLAND,10314,06/24/2020,06/29/2020,2,0.136
20169915,QUEENS,11412,06/24/2020,06/30/2020,1,0.135
20169738,STATEN ISLAND,10306,06/24/2020,06/30/2020,5,0.129
20169710,BRONX,10463,06/24/2020,06/30/2020,5,0.108
20169930,STATEN ISLAND,10308,06/24/2020,06/30/2020,1,0.148
20169798,STATEN ISLAND,10309,06/24/2020,06/30/2020,3,0.078
20169822,QUEENS,11432,06/25/2020,06/30/2020,4,0.215
20169758,BROOKLYN,11226,06/25/2020,06/30/2020,12,0.145
20170019,BROOKLYN,11204,06/25/2020,07/02/2020,1,0.192
20169958,QUEENS,11358,06/25/2020,06/30/2020,4,0.117
20169990,STATEN ISLAND,10309,06/25/2020,07/02/2020,0,0.091
20170017,QUEENS,11374,06/25/2020,06/30/2020,15,0.005
20169756,BROOKLYN,11213,06/25/2020,06/30/2020,0,0.05
20170035,STATEN ISLAND,10309,06/25/2020,06/30/2020,2,0.128
20169953,QUEENS,11357,06/25/2020,06/30/2020,2,0.023
20169799,STATEN ISLAND,10309,06/26/2020,06/30/2020,2,0.273
20169860,BROOKLYN,11229,06/26/2020,06/30/2020,7,0.114
20170024,STATEN ISLAND,10314,06/26/2020,06/30/2020,0,0.053
20169771,BROOKLYN,11229,06/26/2020,06/30/2020,16,0.125
20169778,QUEENS,11361,06/27/2020,07/09/2020,4,0.098
20170092,BROOKLYN,11231,06/28/2020,07/02/2020,38,0.172
20169709,BROOKLYN,11225,06/28/2020,07/09/2020,120,0.64
20169896,BROOKLYN,11224,06/29/2020,07/09/2020,0,0.118
20169872,STATEN ISLAND,10314,06/29/2020,07/02/2020,12,0.504
20170002,BROOKLYN,11234,06/29/2020,07/13/2020,15,0.059
20169993,STATEN ISLAND,10309,06/30/2020,07/09/2020,0,0.072
20169745,STATEN ISLAND,10312,06/30/2020,07/09/2020,2,0.167
20170098,BROOKLYN,11204,06/30/2020,07/09/2020,46,0.05
20169956,STATEN ISLAND,10308,06/30/2020,07/02/2020,1,0.14
20169848,BROOKLYN,11212,06/30/2020,07/09/2020,0,0.047
20169775,BROOKLYN,11205,07/01/2020,07/09/2020,2,0.22
20169803,BRONX,10462,07/03/2020,07/09/2020,2,0.118
